,max_cap_short,pv_cap,num_batts,inv,int_cap,op_cost,NPC,COE,cap_short,site,circuit
0,0.0,0.16,4,0.2,480.0,37,950.0,1.554,0.0,ug01,7
1,0.5,0.14,4,0.2,460.0,37,927.0,1.5230000000000001,0.0,ug01,7
2,1.0,0.14,4,0.2,460.0,37,927.0,1.5230000000000001,0.0,ug01,7
3,1.5,0.12,4,0.2,440.0,36,904.0,1.495,0.01,ug01,7
4,2.0,0.12,4,0.2,440.0,36,904.0,1.495,0.01,ug01,7
5,5.0,0.12,3,0.2,390.0,28,752.0,1.284,0.05,ug01,7
6,10.0,0.12,3,0.1,330.0,27,672.0,1.176,0.09,ug01,7
0,0.0,0.18,6,0.2,600.0,53,1276.0,2.088,0.0,ug01,8
1,0.5,0.16,6,0.2,580.0,53,1253.0,2.052,0.0,ug01,8
2,1.0,0.18,5,0.2,550.0,45,1124.0,1.854,0.01,ug01,8
3,1.5,0.16,5,0.2,530.0,45,1101.0,1.8259999999999998,0.02,ug01,8
4,2.0,0.16,5,0.2,530.0,45,1101.0,1.8259999999999998,0.02,ug01,8
5,5.0,0.16,4,0.1,420.0,35,869.0,1.4769999999999999,0.05,ug01,8
6,10.0,0.14,3,0.1,350.0,27,695.0,1.232,0.1,ug01,8
0,0.0,0.24,5,0.2,610.0,46,1192.0,2.061,0.0,ug01,9
1,0.5,0.28,4,0.2,600.0,38,1086.0,1.8869999999999998,0.01,ug01,9
2,1.0,0.22,4,0.2,540.0,37,1018.0,1.774,0.01,ug01,9
3,1.5,0.18,4,0.2,500.0,37,972.0,1.703,0.02,ug01,9
4,2.0,0.22,4,0.1,480.0,36,937.0,1.639,0.02,ug01,9
5,5.0,0.12,3,0.1,330.0,27,672.0,1.209,0.05,ug01,9
6,10.0,0.1,2,0.1,260.0,19,498.0,0.937,0.1,ug01,9
0,0.0,0.08,3,0.1,290.0,26,627.0,3.237,0.0,ug01,1
1,0.5,0.06,3,0.1,270.0,26,604.0,3.125,0.0,ug01,1
2,1.0,0.12,2,0.1,280.0,19,520.0,2.7119999999999997,0.01,ug01,1
3,1.5,0.08,2,0.1,240.0,18,475.0,2.478,0.01,ug01,1
4,2.0,0.06,2,0.1,220.0,18,452.0,2.371,0.02,ug01,1
