site,circuit,max_cap_short,cap_short,coe,int_cap,inv,npc,num_batts,op_cost,pv
ug01,1,0.0,0.0,3.237,290.0,0.1,627.0,3,26,0.08
ug01,1,0.5,0.0,3.125,270.0,0.1,604.0,3,26,0.06
ug01,1,1.0,0.01,2.7119999999999997,280.0,0.1,520.0,2,19,0.12
ug01,1,1.5,0.01,2.478,240.0,0.1,475.0,2,18,0.08
ug01,1,2.0,0.02,2.371,220.0,0.1,452.0,2,18,0.06
ug01,1,5.0,0.02,2.371,220.0,0.1,452.0,2,18,0.06
ug01,1,10.0,0.08,1.6740000000000002,170.0,0.1,300.0,1,10,0.06
ug01,10,0.0,0.0,1.537,280.0,0.1,520.0,2,19,0.12
ug01,10,0.5,0.01,1.476,260.0,0.1,498.0,2,19,0.1
ug01,10,1.0,0.01,1.476,260.0,0.1,498.0,2,19,0.1
ug01,10,1.5,0.01,1.419,240.0,0.1,475.0,2,18,0.08
ug01,10,2.0,0.01,1.419,240.0,0.1,475.0,2,18,0.08
ug01,10,5.0,0.05,1.35,270.0,0.1,438.0,1,13,0.16
ug01,10,10.0,0.1,1.035,170.0,0.1,321.0,1,12,0.06
ug01,2,0.0,0.0,1.557,150.0,0.1,278.0,1,10,0.04
ug01,2,0.5,0.0,1.4340000000000002,130.0,0.1,255.0,1,10,0.02
ug01,2,1.0,0.0,1.4340000000000002,130.0,0.1,255.0,1,10,0.02
ug01,2,1.5,0.0,1.4340000000000002,130.0,0.1,255.0,1,10,0.02
ug01,2,2.0,0.0,1.4340000000000002,130.0,0.1,255.0,1,10,0.02
ug01,2,5.0,0.0,1.4340000000000002,130.0,0.1,255.0,1,10,0.02
ug01,2,10.0,0.0,1.4340000000000002,130.0,0.1,255.0,1,10,0.02
ug01,3,0.0,0.0,3.82,130.0,0.1,255.0,1,10,0.02
ug01,3,0.5,0.0,3.82,130.0,0.1,255.0,1,10,0.02
ug01,3,1.0,0.0,3.82,130.0,0.1,255.0,1,10,0.02
ug01,3,1.5,0.0,3.82,130.0,0.1,255.0,1,10,0.02
ug01,3,2.0,0.0,3.82,130.0,0.1,255.0,1,10,0.02
ug01,3,5.0,0.0,3.82,130.0,0.1,255.0,1,10,0.02
ug01,3,10.0,0.0,3.82,130.0,0.1,255.0,1,10,0.02
ug01,4,0.0,0.0,2.08,150.0,0.1,278.0,1,10,0.04
ug01,4,0.5,0.0,2.08,150.0,0.1,278.0,1,10,0.04
ug01,4,1.0,0.0,2.08,150.0,0.1,278.0,1,10,0.04
ug01,4,1.5,0.0,2.08,150.0,0.1,278.0,1,10,0.04
ug01,4,2.0,0.0,2.08,150.0,0.1,278.0,1,10,0.04
ug01,4,5.0,0.02,1.9469999999999998,130.0,0.1,255.0,1,10,0.02
ug01,4,10.0,0.02,1.9469999999999998,130.0,0.1,255.0,1,10,0.02
ug01,5,0.0,0.0,1.355,800.0,0.2,1693.0,8,70,0.28
ug01,5,0.5,0.01,1.1159999999999999,700.0,0.2,1390.0,6,54,0.28
ug01,5,1.0,0.01,1.031,670.0,0.2,1279.0,5,48,0.3
ug01,5,1.5,0.01,1.015,650.0,0.2,1256.0,5,47,0.28
ug01,5,2.0,0.02,0.9840000000000001,610.0,0.2,1209.0,5,47,0.24
ug01,5,5.0,0.04,0.941,550.0,0.2,1134.0,5,46,0.18
ug01,5,10.0,0.09,0.919,480.0,0.2,1063.0,4,46,0.16
ug01,6,0.0,0.0,1.8359999999999999,940.0,0.4,1877.0,8,73,0.3
ug01,6,0.5,0.0,1.615,830.0,0.3,1644.0,7,64,0.3
ug01,6,1.0,0.01,1.5419999999999998,770.0,0.2,1564.0,7,62,0.3
ug01,6,1.5,0.01,1.476,780.0,0.3,1493.0,6,56,0.3
ug01,6,2.0,0.02,1.383,700.0,0.2,1390.0,6,54,0.28
ug01,6,5.0,0.05,1.263,650.0,0.2,1238.0,5,46,0.28
ug01,6,10.0,0.08,1.209,570.0,0.2,1147.0,5,45,0.2
ug01,7,0.0,0.0,1.554,480.0,0.2,950.0,4,37,0.16
ug01,7,0.5,0.0,1.5230000000000001,460.0,0.2,927.0,4,37,0.14
ug01,7,1.0,0.0,1.5230000000000001,460.0,0.2,927.0,4,37,0.14
ug01,7,1.5,0.01,1.495,440.0,0.2,904.0,4,36,0.12
ug01,7,2.0,0.01,1.495,440.0,0.2,904.0,4,36,0.12
ug01,7,5.0,0.05,1.284,390.0,0.2,752.0,3,28,0.12
ug01,7,10.0,0.09,1.176,330.0,0.1,672.0,3,27,0.12
ug01,8,0.0,0.0,2.088,600.0,0.2,1276.0,6,53,0.18
ug01,8,0.5,0.0,2.052,580.0,0.2,1253.0,6,53,0.16
ug01,8,1.0,0.01,1.854,550.0,0.2,1124.0,5,45,0.18
ug01,8,1.5,0.02,1.8259999999999998,530.0,0.2,1101.0,5,45,0.16
ug01,8,2.0,0.02,1.8259999999999998,530.0,0.2,1101.0,5,45,0.16
ug01,8,5.0,0.05,1.4769999999999999,420.0,0.1,869.0,4,35,0.16
ug01,8,10.0,0.1,1.232,350.0,0.1,695.0,3,27,0.14
ug01,9,0.0,0.0,2.061,610.0,0.2,1192.0,5,46,0.24
ug01,9,0.5,0.01,1.8869999999999998,600.0,0.2,1086.0,4,38,0.28
ug01,9,1.0,0.01,1.774,540.0,0.2,1018.0,4,37,0.22
ug01,9,1.5,0.02,1.703,500.0,0.2,972.0,4,37,0.18
ug01,9,2.0,0.02,1.639,480.0,0.1,937.0,4,36,0.22
ug01,9,5.0,0.05,1.209,330.0,0.1,672.0,3,27,0.12
ug01,9,10.0,0.1,0.937,260.0,0.1,498.0,2,19,0.1
